Number,	Size,	Chunk Offset,	File,	SHA-256 Hash
113,	2000 B,	1762688,	Pizigani_1367_Chart_1MB (1).jpg,	5886df38d9fa9365cabc5dbad289f974dfae7bec5d370dd7991dc3546654c940
114,	2000 B,	1764688,	Pizigani_1367_Chart_1MB (1).jpg,	30eb0a1be4b9c08745e404d8301f8c7bc1125ae5375b643ec68e1f80e104349c
115,	2000 B,	1766688,	Pizigani_1367_Chart_1MB (1).jpg,	248a059f385c5b21e477b9b2fa3161cb81d27e7cbf0a17b412e560d713c91d26
116,	2000 B,	1768688,	Pizigani_1367_Chart_1MB (1).jpg,	ddde67d1da063ec1024479fd2b4a6436ba7bb29c99146214fec42febf6b25cad
117,	2000 B,	1770688,	Pizigani_1367_Chart_1MB (1).jpg,	56d58c51964bc75ed3461c1e0d8de25804d5f9f140b54e7d0d5b14e837c34cec
118,	2000 B,	1772688,	Pizigani_1367_Chart_1MB (1).jpg,	34f62e31a912761505d2ba4aaea9639bf7a13a95ec5afd5047f11083296a4c6b
119,	2000 B,	1774688,	Pizigani_1367_Chart_1MB (1).jpg,	db1b8dc7cc25d2f07f780778f675268fa713a3703a7b0e25908274a9fef3d6a5
120,	2000 B,	1776688,	Pizigani_1367_Chart_1MB (1).jpg,	32942196b2c503ff919ac886fb0c1348ac2265cd108304aad94bb3fcd941bbad
121,	2000 B,	1778688,	Pizigani_1367_Chart_1MB (1).jpg,	4f32ea766d9ee3a270ef7d05b6ade44f935215a9bd97efe63a2697ddf009a6ab
122,	2000 B,	1780688,	Pizigani_1367_Chart_1MB (1).jpg,	f7e853c70427ebe5d340f5ee1a6e0f6c43acb767247fe5ebdfa961d9ed58f09c
123,	2000 B,	1782688,	Pizigani_1367_Chart_1MB (1).jpg,	cce19a5ae04f9bc42eac1e007783739edcb1715fdb20d85fe3bcee7f0f582d7b
124,	2000 B,	1784688,	Pizigani_1367_Chart_1MB (1).jpg,	82dd21cf00295608bb7d85825f901ae5bbf9856475eb65685550c7f3b84b7c79
125,	2000 B,	1786688,	Pizigani_1367_Chart_1MB (1).jpg,	a4630c6a365bff2099663decdbefb56731b1ee332e4248357467645a27aa59fa
126,	2000 B,	1788688,	Pizigani_1367_Chart_1MB (1).jpg,	ce21112714ce0e88d59f1f2dce445f36070f2d6be87c2224172856e313dc5a97
127,	2000 B,	1790688,	Pizigani_1367_Chart_1MB (1).jpg,	7cbc4c1dad78ebe0f175c0b0b3179f3893e7e34e6a77bcdb6698883708ed23a5
128,	2000 B,	1792688,	Pizigani_1367_Chart_1MB (1).jpg,	9e5cc357bf0fe132964a147614069f9fb52156b0b4d79116e187291d73900b35
129,	2000 B,	1794688,	Pizigani_1367_Chart_1MB (1).jpg,	bb53f855a368ec6aab1959f818a6ddddba049de77fdcac79fc021932c94c03cb
130,	2000 B,	1796688,	Pizigani_1367_Chart_1MB (1).jpg,	0625bbb06bb859e08df16ee1281ed5420e8a8e17e21fcac68cdbda1f8cbd3152
131,	2000 B,	1798688,	Pizigani_1367_Chart_1MB (1).jpg,	3beaabcd1e27665c39b27fa87033719aa396f0e0bdb88de67f97386ae6fa5985
132,	2000 B,	1800688,	Pizigani_1367_Chart_1MB (1).jpg,	f4210101a04cb6d61fcad0b9f11362666df72cec7da5b2eb2a5c070a118326a0
